año,NCODI,60_totalCompra,600_producFarma,601_materialSani,601_1_implantes,601_2_restoMateriaSani,606_servContratado,607_trabajoContratado,60X_restoCompras,61_variaExistencias,62_servExteriores,628_sumistro,62X_restoServiExter,64_gastoPersonal,640_sueldos,641_indemnizacion,642_SegSocEmpresa,643_649_OtrGasSocial,68_dotaAmortizacion,69_perdidaDeterioro,6X_restoGasto,tot_compraGasto
2016,327,993588,241047,35697,0,35697,366,572300,144178,-11772,502354,210158,292196,5336401,4185040,0,1130693,20668,665509,8618,234846,7729544
2016,690,41241556,11283328,21338357,6356410,14981947,417855,4281261,3920755,-4934,13234838,1919099,11315739,83315788,63247976,552239,16559243,2956330,5209980,1278204,552588,144828020
2016,262,5080350,1592449,2250404,867699,1382705,0,1151354,86143,91984,2166067,383504,1782563,11192742,8966461,0,2190618,35663,1092239,-82845,98389,19638926
2016,403,358149,19522,35934,0,35934,0,1950,300743,-95,525537,86703,438834,1171955,914277,0,254713,2965,21303,-2898,99574,2173525
2016,312,511277,117881,38145,0,38145,1474,10915,342862,17923,308713,159009,149704,3902281,2959530,36237,891121,15393,375011,9593,175224,5300022
2016,589,7118180,2066483,2944112,701879,2242233,23794,1541465,542326,0,1275441,433694,841747,24893092,20009588,0,4883504,0,0,0,0,33286713
2016,665,21124234,11596922,5004360,1140459,3863901,0,4016342,506610,0,1022495,779455,243040,39932819,32562279,0,7370540,0,0,0,87220,62166768
2016,334,161110,25884,21990,0,21990,0,25819,87417,2167,94942,42301,52641,1372487,1081385,0,291102,0,62836,0,5466,1699008
2016,1075,165016326,79363492,62326601,19345807,42980794,635828,18750897,3939508,0,12119271,5697195,6422076,259519079,211727150,0,47791929,0,0,0,17267,436671943
2016,751,78830990,34557146,23937170,9696657,14240513,4012912,12018004,4305758,0,7630784,958816,6671968,144780262,113431714,0,31246407,102141,0,0,509918,231751954
2016,186,2487571,581895,520654,166809,353845,1041536,42735,300751,1308,1589255,132132,1457123,2503558,1935281,10078,554054,4145,241385,0,272934,7096011
2016,646,11565390,4163512,2883997,1168272,1715725,1850574,2148541,518766,0,919372,115520,803852,15409698,15404239,0,2975967,5459,0,0,61436,27955896
2016,536,8095772,2914458,2018797,817790,1201007,1294401,1503979,364137,0,643560,80864,562696,9845123,9844762,0,361,0,0,0,0,18584455
