año,NCODI,partoVaginal,cesareas,rNacVivos,vivos_menor2500,exitusMaternal
2016,1046,0,0,0,0,0
2016,420,0,0,0,0,0
2016,802,0,0,0,0,0
2016,266,451,183,634,15,0
2016,137,0,0,0,0,0
2016,769,0,0,0,0,0
2016,776,0,0,0,0,0
2016,640,430,73,497,10,0
2016,315,0,0,0,0,0
2016,40,0,0,0,0,0
2016,508,0,0,0,0,0
2016,46,0,0,0,0,0
2016,590,704,79,791,23,0
2016,777,562,79,640,19,0
2016,897,3170,501,3800,380,0
2016,965,0,0,0,0,0
2016,461,0,0,0,0,0
2016,376,52,13,64,3,0
2016,621,293,112,408,32,0
2016,793,2637,905,3581,266,0
2016,1102,215,185,411,24,0
2016,712,538,120,666,36,0
2016,32,0,0,0,0,0
2016,361,0,0,0,0,0
2016,486,2,1,3,0,0
2016,595,498,99,604,38,0
2016,433,70,22,91,2,0
2016,1058,0,0,0,0,0
2016,261,65,34,99,0,0
2016,730,804,217,1029,57,0
2016,577,931,239,1180,58,0
2016,788,1686,499,2220,197,0
2016,865,428,109,537,24,0
2016,979,0,0,0,0,0
2016,998,0,0,0,0,0
2016,1072,0,0,0,0,0
2016,221,0,0,0,0,0
2016,506,85,36,121,3,0
2016,727,491,162,661,16,0
2016,355,0,0,0,0,0
2016,487,0,0,0,0,0
2016,938,1587,392,2027,172,0
2016,886,0,0,0,0,0
2016,835,55,38,93,0,0
2016,999,0,0,0,0,0
2016,798,2068,480,2579,161,0
2016,504,0,0,0,0,0
2016,247,189,134,323,0,0
2016,216,127,115,248,8,0
2016,654,35,20,56,2,0
2016,65,0,0,0,0,0
2016,472,120,23,145,10,0
2016,427,0,0,0,0,0
2016,491,50,30,81,4,0
2016,551,71,23,94,2,0
2016,106,0,0,0,0,0
2016,819,0,0,0,0,0
2016,836,0,0,0,0,0
2016,915,0,0,0,0,0
2016,942,0,0,0,0,0
2016,748,1608,402,2044,166,0
2016,198,0,0,0,0,0
2016,871,405,114,518,12,0
2016,948,72,58,130,0,0
2016,1051,0,0,0,0,0
2016,1083,0,0,0,0,0
2016,1096,0,0,0,0,0
2016,679,986,345,1359,135,0
2016,176,0,0,0,0,0
2016,537,0,0,0,0,0
2016,608,282,92,382,29,0
2016,596,144,60,204,7,0
2016,749,0,0,0,0,0
2016,758,3329,922,4265,230,0
2016,1104,1450,467,1945,197,0
2016,436,0,0,0,0,0
2016,567,0,0,0,0,0
2016,677,0,0,0,0,0
2016,670,0,0,0,0,0
2016,588,0,0,0,0,0
2016,753,4463,874,5490,585,0
2016,887,0,0,0,0,0
2016,245,1089,430,1527,150,0
2016,603,314,259,582,27,0
2016,426,0,0,0,0,0
2016,232,1370,652,2071,141,0
2016,288,0,0,0,0,0
2016,246,511,398,947,0,0
2016,284,239,244,491,28,0
2016,18,0,0,0,0,0
2016,356,0,0,0,0,0
2016,401,0,0,0,0,0
2016,733,1538,434,2016,150,0
2016,243,0,0,0,0,0
2016,380,0,0,0,0,0
2016,716,0,0,0,0,0
2016,534,0,0,0,0,0
2016,185,0,0,0,0,0
2016,258,0,0,0,0,0
2016,505,0,0,0,0,0
2016,268,0,0,0,0,0
2016,602,499,393,923,80,0
2016,254,590,426,1033,75,0
2016,705,702,350,1052,45,0
2016,133,1360,691,2064,64,0
2016,33,0,0,0,0,0
2016,143,0,0,0,0,0
2016,36,0,0,0,0,0
2016,756,406,131,536,15,0
2016,662,1433,342,1653,89,0
