año,NCODI,60_totalCompra,600_producFarma,601_materialSani,601_1_implantes,601_2_restoMateriaSani,606_servContratado,607_trabajoContratado,60X_restoCompras,61_variaExistencias,62_servExteriores,628_sumistro,62X_restoServiExter,64_gastoPersonal,640_sueldos,641_indemnizacion,642_SegSocEmpresa,643_649_OtrGasSocial,68_dotaAmortizacion,69_perdidaDeterioro,6X_restoGasto,tot_compraGasto
2020,113,1535894,344330,169443,0,169443,1877,678201,342043,3039,719835,213817,506018,26209836,19875799,349499,5984538,0,298707,-6504,50165,28810972
2020,619,7884157,971762,1749006,493444,1255562,3800207,1248674,114508,24083,2844980,209305,2635675,7083969,5203283,151380,1591074,138232,2423752,0,312984,20573925
2020,163,5453290,126493,1412366,574127,838239,3217684,647852,48895,-26827,979733,97459,882274,2890388,2180177,-402,663398,47215,202688,-54028,232471,9677715
2020,131,245802,72318,52506,0,52506,1114,24303,95561,0,566931,79878,487053,1887375,1437421,9506,416398,24050,12084,240,132044,2844476
2020,375,762218,114702,106844,60,106784,14526,188463,337683,242,231222,39090,192132,7764302,5838470,0,1837175,88657,184413,93708,1552,9037657
2020,1090,112996574,49279257,41769429,10108086,31661343,4775429,13738271,3434188,-418235,12078609,2823822,9254787,246037908,189322717,343272,52613604,3758315,5367531,10023,481127,376553537
2020,764,123689049,49082625,40968653,10751584,30217069,20878864,10371438,2387469,0,4914199,2689709,2224490,185048597,147310386,26363,37388435,323413,0,0,772710,314424555
2020,14,5112036,2417934,1409837,84228,1325609,586235,624282,73748,-253353,-800431,220505,-1020936,2980191,2104348,19591,675715,180537,952329,248847,0,8239619
2020,657,12175109,6154388,2931214,370530,2560684,734376,1929672,425459,0,1072259,429108,643151,30244664,25098056,2766,5143842,0,500414,0,0,43992446
2020,362,8050233,1107796,2578262,1200344,1377918,1916152,2079906,368117,-40976,2298304,172107,2126197,5537029,4249730,0,1284099,3200,387378,679201,348049,17259218
2020,989,12075596,6132709,2607205,624798,1982407,691907,2211211,432564,140725,1766345,629804,1136541,27669990,22721228,84343,4862607,1812,0,0,0,41652656
2020,990,14276906,7132646,2653259,544892,2108367,1381686,2442678,666637,0,1921747,455827,1465920,26933532,22141132,0,4792400,0,0,0,0,43132185
2020,680,165641619,67865310,64603437,16477162,48126275,16853784,14685489,1633599,5302612,6319794,2478336,3841458,204658491,163388218,0,40275535,994738,0,0,56295,381978811
2020,411,22447982,5099711,3863410,297880,3565530,12380890,646015,457956,-439900,3092752,399911,2692841,13111140,10161905,0,2905382,43853,961008,226914,-94141,39305755
2020,241,18806440,2132472,2656700,503548,2153152,10067013,1751668,2198587,-220585,3561089,599576,2961513,14518079,10567078,369217,3311045,270739,2588485,-954453,2458740,40757795
2020,558,45906017,20903721,10372349,880935,9491414,6793516,6444017,1392414,0,3794064,3794064,,62558099,50267926,131059,12159114,0,0,0,0,112258180
2020,248,15838443,2888947,4413927,,4413927,4541586,3372261,621722,9154,4275140,399413,3875727,15890921,12455534,43107,3235806,156474,1528638,550859,1229607,39322762
2020,224,4908850,499142,713687,196805,516882,3492716,70895,132410,-75356,1101458,138846,962612,4193129,3154424,0,1033792,4913,279518,5858,-203311,10210146
2020,591,83965750,40776886,24325211,3666103,20659108,10990743,6289314,1583596,23227,6455638,1367961,5087677,109784041,87563617,121733,22096398,2293,0,0,24428,200253084
2020,586,68311538,34310573,17307117,1632782,15674335,7501090,8714375,478383,0,4811982,1567766,3244216,122572466,97958686,0,24613780,0,0,0,0,195695986
2020,453,2059032,331105,217214,0,217214,0,1400373,110340,0,598651,156159,442492,15859226,12529307,0,3318693,11226,0,0,1794,18518703
2020,145,120511,10920,2363,474,1889,0,0,107228,0,321376,133966,187410,1493199,1138127,0,353825,1247,209689,5551,7695,2158021
2020,511,63382273,33266502,10934016,1103666,9830350,10589923,7995521,596311,0,4574674,1199785,3374889,50845113,39225147,0,11619966,0,0,0,0,118802060
2020,530,56608507,29663526,10828678,1168236,9660442,7507224,6628971,1980108,0,3162109,1280401,1881708,96943041,77915443,135755,18889868,1975,0,0,0,156713657
2020,6,18806440,2132472,2656700,503548,2153152,10067013,1751668,2198587,-220585,3561089,599576,2961513,14518079,10567078,369217,3311045,270739,2588485,-954453,2458740,40757795
2020,161,792796,382011,17421,0,17421,223830,169534,0,0,287979,287979,0,9667046,8455328,3272,1208446,0,0,0,0,10747821
2020,623,107803760,38354335,59134682,4526641,54608041,7745753,1820367,748623,0,1580096,1345789,234307,115578944,89627477,0,25951467,0,0,0,54539,225017339
2020,875,16410612,2142875,3923469,1191385,2732084,7210702,2628873,504693,-284200,7496497,607677,6888820,20357097,16036260,43211,4189045,88581,718930,724565,1368159,46791660
2020,946,9583989,1089202,4766108,452110,4313998,2598671,387364,742644,-61294,3646222,336448,3309774,19644150,15675434,100536,3701714,166466,837190,1750060,2053860,37454177
2020,1023,52580796,22375867,8080883,,8080883,17892723,4045072,186251,-422883,10136532,1459541,8676991,49940821,38822097,405778,10322452,390494,5919667,812583,227308,119194824
2020,1054,72826894,19888907,5458412,8896,5449516,0,45910878,1568697,-347739,4995355,1456204,3539151,60855526,48513519,258,12341749,,8133854,372544,899838,147736272
