año,NCODI,anatomia_centro,diagnostico_centro,dialisis_centro,esterilizacion_centro,laboratorio_centro,rehabilitacion_centro,otras_Asistenciales_centro,anatomia_fuera,diagnostico_fuera,dialisis_fuera,esterilizacion_fuera,laboratorio_fuera,rehabilitacion_fuera,otras_Asistenciales_fuera,otros_Asis_texto,cocina_centro,lavanderia_centro,limpieza_centro,mantenimiento_centro,seguridad_centro,otros_NoAsistenciales_centro,cocina_fuera,lavanderia_fuera,otros_NoAsistenciales_fuera,otros_NoAsis_texto,oxigenoterapia_centro,oxigenoterapia_fuera,transporte_centro
2020,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0
2020,623,0,0,0,0,0,0,0,0,1,1,0,0,1,1,"0",1,0,1,1,1,1,0,1,1,"1",0,1,0
2020,875,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0",1,1,1,1,1,0,0,0,0,"0",0,0,0
2020,946,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"0",1,0,1,1,0,0,0,1,0,"0",0,0,1
2020,1023,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0",1,0,1,1,1,1,0,1,0,"1",0,0,0
2020,1054,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"0",1,1,1,1,1,0,0,0,0,"0",1,0,1
2020,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,0,0
2020,1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0
2020,1032,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0",1,0,1,1,1,1,0,1,0,"1",0,0,0
2020,1064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",1,0,0,0,0,0,0,1,0,"0",0,0,0
2020,226,1,1,1,1,1,1,0,0,0,0,0,1,0,0,"0",1,0,1,1,1,1,0,1,0,"1",0,0,0
2020,687,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,0,0
2020,745,0,0,0,0,0,0,0,0,1,1,0,1,1,1,"0",0,0,0,0,0,0,0,1,1,"0",0,1,0
2020,109,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"0",0,0,0,1,1,0,0,1,0,"0",0,0,0
2020,808,0,0,0,0,0,0,0,1,1,0,0,1,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,1,1
2020,971,0,0,0,0,0,0,0,1,1,0,0,1,0,1,"0",1,0,1,1,1,0,0,1,0,"0",0,1,1
2020,128,1,1,0,0,0,0,0,0,0,0,0,1,0,0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0
2020,919,0,0,0,0,0,0,0,0,0,1,0,1,1,1,"1",1,0,1,1,1,1,0,0,0,"1",0,1,0
2020,1150,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"0",1,1,1,1,1,0,0,0,0,"0",1,0,0
2020,725,0,0,0,0,0,0,0,0,1,1,0,1,0,1,"0",0,0,1,1,1,0,0,0,0,"1",0,0,0
2020,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,"0",0,0,1,1,0,0,1,1,0,"0",1,0,0
2020,306,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"0",1,1,1,1,0,0,0,0,0,"1",0,0,0
2020,15,0,0,0,0,1,0,0,1,0,0,0,1,0,0,"0",0,0,0,0,0,0,0,1,0,"0",0,0,0
2020,264,1,1,0,0,1,1,0,1,0,0,0,0,0,0,"0",1,0,1,1,0,0,0,1,0,"0",0,0,0
2020,867,0,1,0,1,1,1,0,1,0,0,0,1,0,0,"0",1,1,1,1,0,0,0,0,0,"0",0,0,0
2020,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",1,0,1,1,1,0,0,0,0,"0",1,0,0
2020,1053,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0",0,0,1,0,1,0,1,1,0,"0",0,0,0
2020,1055,0,0,0,0,0,0,0,0,1,1,0,1,0,1,"0",1,0,1,1,1,1,0,1,0,"0",0,1,0
2020,1081,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0",1,1,1,1,0,1,0,0,0,"1",1,0,0
2020,1115,0,1,0,1,0,1,0,1,0,0,0,1,0,0,"0",0,1,1,1,0,0,1,0,0,"0",0,0,0
2020,529,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0",0,0,1,0,1,0,1,1,0,"0",0,0,0
2020,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,1,1,1,0,1,1,0,"0",0,0,0
2020,515,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"0",0,0,1,0,1,0,0,1,0,"0",0,0,1
2020,174,0,1,0,1,1,1,0,1,1,0,0,0,0,0,"0",1,0,1,1,0,0,0,1,0,"0",1,0,0
2020,523,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"0",1,0,1,1,0,0,0,1,0,"0",0,0,0
2020,697,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,1,0,0,0,0,"0",0,0,0
2020,239,1,1,0,1,1,0,1,0,0,1,0,0,1,0,"0",1,0,1,1,1,1,0,1,0,"0",0,1,1
2020,287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",1,1,0,1,1,0,0,0,0,"0",0,0,1
2020,377,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"0",1,1,1,1,1,1,0,0,0,"0",0,0,0
2020,692,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"1",1,1,1,1,1,1,0,0,0,"1",0,1,0
2020,435,1,1,0,1,1,1,0,1,1,0,0,0,0,0,"0",0,0,1,1,1,0,1,1,0,"0",0,0,1
2020,423,0,1,0,1,1,1,0,1,0,0,0,0,0,0,"0",0,0,1,1,0,0,1,1,0,"0",1,0,0
2020,351,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"0",1,0,0,0,0,0,0,1,0,"0",0,0,0
2020,810,0,1,0,1,1,1,0,1,0,0,0,0,0,0,"0",0,0,1,1,0,0,1,1,0,"0",1,0,0
2020,830,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"0",1,1,1,1,1,0,0,0,0,"0",0,1,0
2020,892,0,0,1,0,0,0,0,0,1,1,0,1,1,0,"0",1,1,1,1,1,0,0,0,0,"0",1,1,0
2020,921,1,1,0,1,1,1,0,0,0,0,0,0,0,0,"0",1,0,1,1,1,0,0,1,0,"0",1,0,0
2020,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",1,1,1,1,1,0,0,0,0,"0",0,1,1
2020,992,0,0,0,1,0,0,0,0,1,1,0,0,0,0,"0",1,1,1,1,1,1,0,0,0,"1",0,1,1
2020,993,0,0,0,0,0,0,1,1,1,0,0,0,0,0,"1",1,0,1,1,1,0,0,1,0,"1",0,1,0
2020,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0
2020,1095,0,0,1,0,1,0,0,1,1,0,0,0,0,0,"0",1,0,0,0,0,0,0,1,0,"0",0,0,1
