año,NCODI,partoVaginal,cesareas,rNacVivos,vivos_menor2500,exitusMaternal
2020,211,0,0,0,0,0
2020,773,990,304,1328,242,0
2020,424,331,142,476,31,0
2020,298,470,317,758,29,0
2020,594,0,0,0,0,0
2020,237,0,0,0,0,0
2020,16,0,0,0,0,0
2020,768,62,18,80,0,0
2020,617,693,170,871,32,0
2020,297,0,0,0,0,0
2020,105,0,0,0,0,0
2020,544,327,80,410,16,0
2020,804,668,150,818,42,0
2020,104,0,0,0,0,0
2020,20,0,0,0,0,0
2020,550,0,0,0,0,0
2020,112,0,0,0,0,0
2020,818,0,0,0,0,0
2020,882,0,0,0,0,0
2020,914,0,0,0,0,0
2020,928,0,0,0,0,0
2020,964,919,194,1120,45,0
2020,1026,0,0,0,0,0
2020,1068,0,0,0,0,0
2020,1108,126,29,152,6,0
2020,404,0,0,0,0,0
2020,590,591,99,693,17,0
2020,777,441,57,496,19,0
2020,897,2800,466,3332,268,0
2020,965,0,0,0,0,0
2020,671,0,0,0,0,0
2020,376,50,17,67,0,0
2020,621,303,97,403,20,0
2020,793,2653,667,3330,247,0
2020,1102,121,90,211,6,0
2020,1147,0,0,0,0,0
2020,712,392,153,553,34,0
2020,32,0,0,0,0,0
2020,361,0,0,0,0,0
2020,486,0,0,0,0,0
2020,595,407,127,536,33,0
2020,433,103,22,125,5,0
2020,1058,0,0,0,0,0
2020,261,0,0,0,0,0
2020,730,603,179,782,49,1
2020,577,820,201,1024,58,0
2020,788,1503,424,1962,162,0
2020,865,316,77,393,22,0
2020,979,0,0,0,0,0
2020,998,0,0,0,0,0
2020,1072,0,0,0,0,0
2020,221,0,0,0,0,0
2020,506,82,23,105,0,0
2020,727,395,187,590,16,0
2020,355,0,0,0,0,0
2020,487,0,0,0,0,0
2020,938,1245,291,1567,147,0
2020,999,0,0,0,0,0
2020,798,1806,469,2307,194,0
2020,504,0,0,0,0,0
2020,247,162,52,214,0,0
2020,216,105,80,187,2,0
2020,65,0,0,0,0,0
2020,472,97,13,110,6,0
2020,427,0,0,0,0,0
2020,491,50,28,79,3,0
2020,551,39,20,59,2,0
2020,106,0,0,0,0,0
2020,819,0,0,0,0,0
2020,836,0,0,0,0,0
2020,915,0,0,0,0,0
2020,942,0,0,0,0,0
2020,1140,0,0,0,0,0
2020,869,0,0,0,0,0
2020,955,0,0,0,0,0
2020,983,0,0,0,0,0
2020,1002,0,0,0,0,0
2020,1015,1852,547,2403,207,0
2020,1153,0,0,0,0,0
2020,51,0,0,0,0,0
2020,441,0,0,0,0,0
2020,327,0,0,0,0,0
2020,690,229,82,317,17,0
2020,262,83,34,117,1,1
2020,403,0,0,0,0,0
2020,312,0,0,0,0,0
2020,589,210,60,271,10,0
2020,665,760,114,889,50,0
2020,334,0,0,0,0,0
2020,1075,2892,488,3417,233,0
2020,751,832,338,1176,95,0
2020,186,0,0,0,0,0
2020,646,29,76,106,2,0
2020,536,92,18,110,5,0
2020,242,0,1,1,0,0
2020,490,0,0,0,0,0
2020,500,93,45,138,2,0
2020,206,0,0,0,0,0
2020,58,0,0,0,0,0
2020,572,558,103,667,38,0
