"año";"NCODI";"inver_iIntangible";"inver_IMaterial";"inver_IMterrenos";"inver_IMresto";"inver_Otras";"inver_Total"
2010;167,00;;45843;;45843;;45843
2010;224,00;9536;147562;47200;100362;0;157098
2010;591,00;347695;5142071;0;5142071;0;5489766
2010;586,00;0;1007417;0;1007417;0;1007417
2010;453,00;0;0;0;0;0;0
2010;145,00;0;0;0;0;0;0
2010;511,00;0;400000;0;400000;0;400000
2010;530,00;0;559060;0;559060;0;559060
2010;6,00;25845;3272266;0;3272266;0;3298111
2010;161,00;0;32933;0;32933;0;32933
2010;623,00;0;0;0;0;0;0
2010;489,00;0;2207;0;2207;0;2207
2010;349,00;;52004;;52004;;52004
2010;875,00;22088;685005;0;685005;0;707093
2010;908,00;0;97765;0;97765;0;97765
2010;940,00;0;998;0;998;0;998
2010;946,00;;0;;;;0
2010;1023,00;468075;1063109;0;1063109;0;1531184
2010;1054,00;-65488;8437649;-1176635;9614284;;8372161
2010;1057,00;0;190624;0;190624;0;190624
2010;1031,00;284893;8887536;0;8887536;0;9172429
2010;1032,00;0;26500000;0;26500000;49200000;75700000
2010;226,00;98087;1253739;0;1253739;0;1351826
2010;687,00;0;0;0;0;674583;674583
2010;745,00;0;8492527;0;8492527;0;8492527
2010;109,00;0;201101;0;201101;0;201101
2010;808,00;12496;4146308;0;4146308;0;4158804
2010;971,00;0;57584;;57584;0;57584
2010;128,00;0;37992;0;37992;0;37992
2010;919,00;35709;231674;0;231674;0;267383
2010;725,00;21263;1398350;1398350;0;0;1419613
2010;3,00;0;51133;0;51133;0;51133
2010;386,00;;0;;;;0
2010;306,00;0;0;0;0;0;0
2010;15,00;0;46424;0;46424;0;46424
2010;264,00;7384;963714;0;963714;0;971098
2010;867,00;7757;425850;0;425850;0;433607
2010;910,00;7920;98147;0;98147;0;106067
2010;1053,00;0;199994;0;199994;0;199994
2010;1055,00;0;618090;0;618090;0;618090
2010;732,00;36979;4668696;0;4668696;0;4705675
2010;529,00;34725;7593;0;7593;0;42318
2010;345,00;394221;121053;0;121053;0;515274
2010;515,00;42400;6142506;;6142506;0;6184906
2010;174,00;;295692;;295692;;295692
2010;523,00;37847;338722;0;338722;0;376569
2010;697,00;4225;359547;;359547;;363772
2010;239,00;18471;710278;0;710278;0;728749
2010;287,00;20995;91665;0;91665;400000;512660
2010;377,00;660368;97776;0;97776;0;758144
2010;692,00;0;0;0;0;0;0
2010;335,00;0;0;0;0;134149;134149
2010;435,00;;615146;235444;379702;;615146
2010;423,00;10203;3931002;0;3931002;0;3941205
2010;351,00;28784;32390;;32390;0;61174
2010;810,00;73007;1815416;0;1815416;0;1888423
2010;830,00;2887;1076154;0;1076154;0;1079041
2010;892,00;22931;1494532;0;1494532;0;1517463
2010;921,00;27263;1298738;0;1298738;4649810;5975811
2010;991,00;1498;153563;0;153563;0;155061
2010;992,00;45611;453382;181298;272084;;498993
2010;993,00;0;676472;0;676472;0;676472
2010;473,00;0;0;0;0;3843;3843
2010;663,00;165814;8751608;0;8751608;0;8917422
2010;552,00;0;1228679;0;1228679;0;1228679
2010;772,00;2090038;12014520;136936;11877584;18341994;32446552
2010;568,00;0;297281;0;297281;0;297281
2010;398,00;0;2072697;0;2072697;0;2072697
2010;394,00;0;362141;0;362141;0;362141
2010;614,00;0;14006;0;14006;0;14006
2010;235,00;0;0;0;0;1;1
2010;616,00;0;792461;0;792461;1396995;2189456
2010;267,00;37813;2052749;12627;2040122;4003;2094565
2010;565,00;64741;635028;0;635028;0;699769
2010;220,00;5881;430752;0;430752;0;436633
2010;278,00;5818;1038396;0;1038396;0;1044214
2010;107,00;33294;220360;0;220360;312571;566225
2010;141,00;0;189799;0;189799;29923;219722
2010;711,00;459294;11378631;0;11378631;118370;11956295
2010;569,00;0;0;0;0;1;1
2010;204,00;4076;242212;0;242212;0;246288
2010;579,00;0;281481;21649;259832;0;281481
2010;348,00;0;562260;0;562260;0;562260
2010;766,00;1151737;13265032;0;13265032;0;14416769
2010;761,00;2194;7125;0;7125;0;9319
2010;728,00;37614;978731;0;978731;0;1016345
2010;280,00;0;2848090;171214;2676876;8112;2856202
2010;222,00;16707;285791;0;285791;0;302498
2010;276,00;15234;1006117;8393;997724;68998;1090349
2010;11,00;1841730;430068;0;430068;21206;2293004
2010;302,00;76489;1436387;0;1436387;10000;1522876
2010;682,00;205903;751519;0;751519;0;957422
2010;279,00;0;1064525;0;1064525;0;1064525
2010;282,00;0;0;0;0;1;1
2010;281,00;0;2326708;0;2326708;65088;2391796
2010;183,00;0;12600;0;12600;12300;24900
2010;610,00;12058;315554;0;315554;0;327612
2010;116,00;0;18841;0;18841;0;18841
2010;115,00;0;74550;0;74550;0;74550
2010;114,00;0;0;0;0;9874;9874
2010;126,00;226161;49542;0;49542;0;275703
2010;156,00;17147;1374809;0;1374809;0;1391956
2010;119,00;4749;361025;0;361025;0;365774
2010;770,00;34208;1559603;0;1559603;0;1593811
2010;583,00;275828;452822;0;452822;200251;928901
2010;136,00;42169;84077;0;84077;0;126246
2010;469,00;13718;259456;0;259456;5493824;5766998
2010;642,00;0;0;0;0;1;1
2010;674,00;563901;4896100;0;4896100;0;5460001
2010;193,00;0;156417;0;156417;0;156417
2010;526,00;311998;2153889;0;2153889;0;2465887
2010;698,00;307694;2845012;0;2845012;0;3152706
2010;630,00;84789;759669;0;759669;164325;1008783
2010;124,00;0;20976;0;20976;0;20976
2010;364,00;0;1;0;1;0;1
2010;604,00;813039;17293576;0;17293576;45835;18152450
2010;123,00;12223;191357;0;191357;4345;207925
2010;310,00;55036;1208525;0;1208525;0;1263561
2010;571,00;15526;574261;0;574261;0;589787
2010;296,00;0;29431;0;29431;0;29431
2010;566,00;0;9924324;0;9924324;0;9924324
2010;784,00;323445;4565371;0;4565371;0;4888816
2010;102,00;75823;10913267;0;10913267;5801659;16790749
2010;379,00;0;0;0;0;1;1
2010;639,00;264915;112614090;14069602;98544488;2610088;115489093
2010;457,00;52099;283701;0;283701;10535;346335
2010;609,00;140584;2907554;0;2907554;0;3048138
2010;101,00;0;31007;0;31007;0;31007
2010;454,00;159537;1122854;0;1122854;0;1282391
2010;318,00;102955;321326;0;321326;0;424281
2010;600,00;246981;681431;0;681431;0;928412
2010;545,00;423786;9814916;0;9814916;0;10238702
2010;100,00;0;2800;0;2800;0;2800
2010;702,00;369949;3762765;0;3762765;0;4132714
2010;778,00;100541;2503279;0;2503279;0;2603820
2010;341,00;0;0;0;0;2500;2500
2010;99,00;5374;200761;0;200761;133541;339676
2010;767,00;0;3718932;0;3718932;0;3718932
2010;359,00;80405;565902;0;565902;0;646307
2010;98,00;1843;118375;0;118375;0;120218
2010;132,00;0;411648;0;411648;373874;785522
2010;97,00;0;4120;0;4120;0;4120
2010;103,00;0;0;0;0;1;1
2010;110,00;0;27226;0;27226;0;27226
2010;94,00;0;371710;0;371710;0;371710
2010;91,00;0;393066;0;393066;0;393066
2010;664,00;518886;2134095;0;2134095;0;2652981
2010;918,00;44458;36348380;0;36348380;0;36392838
2010;92,00;0;625;0;625;0;625
2010;93,00;0;0;0;0;1;1
2010;95,00;0;86201;0;86201;0;86201
2010;96,00;0;24024;0;24024;0;24024
2010;301,00;55242;193359;0;193359;0;248601
2010;492,00;86264;515708;0;515708;150027;751999
2010;811,00;0;84932;0;84932;0;84932
2010;812,00;1413;8330928;0;8330928;0;8332341
2010;832,00;1477;524;0;524;0;2001
2010;841,00;10700;65800;0;65800;0;76500
2010;856,00;0;36229;0;36229;0;36229
2010;859,00;0;9990;0;9990;0;9990
2010;861,00;0;2098;0;2098;0;2098
2010;880,00;0;22448;0;22448;0;22448
2010;883,00;0;0;0;0;1;1
2010;884,00;3209;72257;0;72257;0;75466
2010;877,00;0;607384;0;607384;0;607384
2010;911,00;84144;2983459;0;2983459;0;3067603
2010;913,00;0;17413;0;17413;0;17413
2010;922,00;1983;442416;0;442416;0;444399
2010;923,00;0;0;0;0;1;1
2010;924,00;0;2889023;0;2889023;0;2889023
2010;947,00;0;11363;0;11363;0;11363
2010;951,00;7308;12773;0;12773;0;20081
2010;972,00;0;3397;0;3397;0;3397
2010;973,00;0;145911;0;145911;0;145911
2010;974,00;1537;38862;0;38862;9874;50273
2010;975,00;7705;62765;0;62765;0;70470
2010;960,00;0;53342;0;53342;0;53342
2010;1027,00;0;8582;0;8582;0;8582
2010;1028,00;0;9483;0;9483;0;9483
2010;976,00;0;341010;0;341010;0;341010
2010;977,00;9117;957356;0;957356;0;966473
2010;1020,00;0;7416;0;7416;0;7416
2010;994,00;51278;279409;0;279409;69619;400306
2010;995,00;0;7819;0;7819;0;7819
2010;1059,00;0;1;0;1;0;1
2010;1060,00;0;510421;0;510421;0;510421
2010;1005,00;0;1237;0;1237;0;1237
2010;1061,00;0;293928;0;293928;0;293928
2010;1062,00;0;0;0;0;1;1
2010;1006,00;0;1;0;1;0;1
2010;1088,00;0;55000;0;55000;0;55000
2010;1076,00;0;12612;0;12612;0;12612
2010;1078,00;1050;15000;0;15000;0;16050
2010;1063,00;1;0;0;0;0;1
2010;1033,00;885579;112804352;3223004;109581348;2565905;116255836
2010;1034,00;0;776;0;776;0;776
2010;1036,00;1680;508440;0;508440;0;510120
2010;1039,00;0;318361;0;318361;0;318361
2010;207,00;0;1192682;0;1192682;0;1192682
2010;431,00;0;15609045;0;15609045;0;15609045
