"año";"NCODI";"inver_iIntangible";"inver_IMaterial";"inver_IMterrenos";"inver_IMresto";"inver_Otras";"inver_Total"
2010;865,00;634657;1584221;0;1584221;0;2218878
2010;979,00;1341;104096;0;104096;0;105437
2010;998,00;2366;38988;0;38988;0;41354
2010;221,00;764;844630;0;844630;0;845394
2010;462,00;0;63450;0;63450;0;63450
2010;506,00;0;162627;0;162627;0;162627
2010;727,00;5823;535457;0;535457;0;541280
2010;355,00;2983;56569;0;56569;0;59552
2010;487,00;10627;14734780;0;14734780;0;14745407
2010;938,00;0;154592;0;154592;201679;356271
2010;886,00;2246;138085;0;138085;0;140331
2010;835,00;15357;27751;0;27751;0;43108
2010;999,00;0;229259;0;229259;0;229259
2010;798,00;18374;15922709;0;15922709;0;15941083
2010;504,00;1318814;2916301;0;2916301;0;4235115
2010;247,00;17533;86412;0;86412;0;103945
2010;216,00;0;220414;0;220414;1601;222015
2010;654,00;498075;259598;0;259598;0;757673
2010;65,00;0;35167;0;35167;0;35167
2010;472,00;214482;1626250;0;1626250;37110;1877842
2010;427,00;0;300175;0;300175;0;300175
2010;491,00;0;0;0;0;1;1
2010;551,00;4942;471288;0;471288;0;476230
2010;106,00;0;0;0;0;9875;9875
2010;819,00;0;27599;0;27599;0;27599
2010;836,00;478660;2172023;802868;1369155;5844730;8495413
2010;915,00;0;28394;0;28394;0;28394
2010;942,00;0;0;0;0;5604744;5604744
2010;748,00;561119;203546;0;203546;0;764665
2010;198,00;0;3019786;527160;2492626;0;3019786
2010;871,00;25422;1365273;0;1365273;150381;1541076
2010;948,00;1200;255651;0;255651;0;256851
2010;1051,00;0;0;0;0;0;0
2010;1083,00;0;2716;0;2716;0;2716
2010;679,00;28566;827304;0;827304;12084;867954
2010;176,00;34610;192846;;192846;;227456
2010;537,00;15394;3166192;0;3166192;0;3181586
2010;39,00;0;0;0;0;0;0
2010;608,00;0;435475;0;435475;0;435475
2010;596,00;246625;0;0;0;0;246625
2010;749,00;0;2803825;0;2803825;0;2803825
2010;758,00;0;2812103;0;2812103;0;2812103
2010;724,00;0;768119;0;768119;0;768119
2010;436,00;0;463324;0;463324;0;463324
2010;567,00;0;829139;0;829139;0;829139
2010;677,00;0;1657432;0;1657432;0;1657432
2010;670,00;0;78751;0;78751;0;78751
2010;588,00;0;734871;0;734871;0;734871
2010;446,00;0;71531;0;71531;43976;115507
2010;753,00;0;821000;0;821000;312057;1133057
2010;887,00;0;36930;0;36930;0;36930
2010;388,00;0;46903;0;46903;0;46903
2010;585,00;20469;0;0;0;139753;160222
2010;245,00;0;404316;0;404316;0;404316
2010;603,00;6523;969752;0;969752;0;976275
2010;426,00;0;832905;0;832905;0;832905
2010;232,00;21425;1203314;;1203314;0;1224739
2010;288,00;;1421903;;1421903;;1421903
2010;246,00;3544;497404;0;497404;0;500948
2010;284,00;;1223526;;1223526;;1223526
2010;18,00;0;331871;0;331871;0;331871
2010;356,00;0;124609;0;124609;0;124609
2010;401,00;5049;400010;0;400010;0;405059
2010;733,00;529377;13458951;968808;12490143;1253285;15241613
2010;243,00;11210;210822;0;210822;16289;238321
2010;380,00;11174;530868;-11;530879;0;542042
2010;716,00;0;786038;0;786038;0;786038
2010;534,00;84629;1323946;0;1323946;0;1408575
2010;185,00;51559;1616689;0;1616689;0;1668248
2010;258,00;0;881054;0;881054;0;881054
2010;505,00;0;0;0;0;39024;39024
2010;268,00;228388;1698194;0;1698194;1771207;3697789
2010;602,00;152421;427220;0;427220;0;579641
