"año";"NCODI";"biopsias_hosp";"biopsias_CEP";"necropsias_hosp";"angio_hosp";"angio_CEP";"densiometrias_hosp";"densiometrias_CEP";"gamma_hosp";"gamma_CEP";"mamo_hosp";"mamo_CEP";"pet_hosp";"pet_CEP";"resonancia_hosp";"resonancia_CEP";"rx_hosp";"rx_CEP";"spect_hosp";"spect_CEP";"tac_hosp";"tac_CEP";"Colonosopia";"Broncoscopia";"ERCP"
2010;292,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;618,00;3032;0;2;0;0;0;0;0;0;2292;0;0;0;0;0;53445;4283;0;0;3418;0;0;0;0
2010;463,00;7857;0;12;0;0;0;0;0;0;3947;0;0;0;4633;0;66117;29703;0;0;8698;0;;;
2010;891,00;3782;0;2;0;0;0;0;0;0;0;0;0;0;146;0;16924;0;0;0;687;0;;;
2010;958,00;14925;0;9;0;0;583;0;0;0;3708;0;0;0;4803;0;77184;0;0;0;16322;0;;;
2010;244,00;327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
2010;28,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;444,00;4046;0;0;0;0;0;0;0;0;963;0;0;0;0;0;7895;0;0;0;354;0;0;0;0
2010;479,00;222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3444;0;0;0;0;0;;;
2010;285,00;3615;0;1;0;0;0;0;0;0;2377;0;0;0;6879;0;31476;0;0;0;9268;0;0;0;0
2010;253,00;0;0;0;12;0;2497;0;0;0;6073;0;0;0;11803;0;67774;0;0;0;6948;0;;;
2010;481,00;1417;0;6;83;0;856;0;0;0;1261;0;0;0;3773;0;26660;0;0;0;3131;0;;;
2010;540,00;7765;0;0;87;0;0;0;1690;0;4720;0;0;0;6787;0;36215;0;0;0;5496;0;;;
2010;332,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
