año,NCODI,partoVaginal,cesareas,rNacVivos,vivos_menor2500,exitusMaternal
2018,553,1891,492,2421,174,0
2018,357,0,0,0,0,0
2018,899,0,0,0,0,0
2018,900,0,0,0,0,0
2018,950,0,0,0,0,0
2018,966,154,140,294,9,0
2018,967,0,0,0,0,0
2018,982,0,0,0,0,0
2018,1014,0,0,0,0,0
2018,1080,863,295,1178,83,0
2018,1074,0,0,0,0,0
2018,1084,0,0,0,0,0
2018,1113,21,20,43,0,0
2018,1137,0,0,0,0,0
2018,1142,391,214,610,41,0
2018,722,5481,1559,7154,623,0
2018,660,0,0,0,0,0
2018,75,0,0,0,0,0
2018,249,372,336,728,39,0
2018,227,374,276,661,34,0
2018,150,0,0,0,0,0
2018,47,0,0,0,0,0
2018,172,0,0,0,0,0
2018,581,399,111,512,26,0
2018,120,0,0,0,0,0
2018,445,0,0,0,0,0
2018,471,0,0,0,0,0
2018,53,0,0,0,0,0
2018,199,0,0,0,0,0
2018,575,796,305,1104,48,0
2018,528,367,137,505,28,0
2018,631,1110,403,1517,80,0
2018,699,0,0,0,0,0
2018,823,0,0,0,0,0
2018,849,0,0,0,0,0
2018,869,0,0,0,0,0
2018,955,0,0,0,0,0
2018,983,0,0,0,0,0
2018,1002,0,0,0,0,0
2018,1015,1968,618,2612,214,0
2018,1153,0,0,0,0,0
2018,51,0,0,0,0,0
2018,441,0,0,0,0,0
2018,327,0,0,0,0,0
2018,690,214,63,277,8,0
2018,262,90,40,133,3,0
2018,403,0,0,0,0,0
2018,312,0,0,0,0,0
2018,589,323,76,400,9,0
2018,665,692,110,814,0,0
2018,334,0,0,0,0,0
2018,1075,3031,560,3694,294,0
2018,751,851,359,1235,112,0
2018,186,0,0,0,0,0
2018,646,97,23,121,0,0
2018,536,66,23,88,1,0
2018,242,0,5,5,0,0
2018,490,0,0,0,0,0
2018,500,210,72,282,5,0
2018,206,0,0,0,0,0
2018,58,0,0,0,0,0
2018,572,646,128,788,49,0
2018,180,0,0,0,0,0
2018,549,79,23,102,4,0
2018,582,172,62,234,0,0
2018,743,1205,277,1513,115,0
2018,795,0,0,0,0,0
2018,269,0,0,0,0,0
2018,634,0,0,0,0,0
2018,1,0,0,0,0,0
2018,717,255,54,310,21,0
2018,373,0,0,0,0,0
2018,535,274,52,326,20,0
2018,824,1703,325,2071,306,0
2018,888,123,41,166,6,0
2018,902,0,0,0,0,0
2018,968,0,0,0,0,0
2018,1130,0,0,0,0,0
2018,1141,0,0,0,0,0
2018,1145,0,0,0,0,0
2018,1122,0,0,0,0,0
2018,1133,0,0,0,0,0
2018,346,0,0,0,0,0
2018,27,0,0,0,0,0
2018,165,0,0,0,0,0
2018,956,615,250,881,44,0
2018,413,0,0,0,0,0
2018,149,0,0,0,0,0
2018,612,691,665,1389,38,0
2018,559,0,0,0,0,0
2018,7,0,0,0,0,0
2018,283,0,0,0,0,0
2018,37,0,0,0,0,0
2018,153,0,0,0,0,0
2018,547,957,268,1241,65,0
2018,397,0,0,0,0,0
2018,556,752,219,974,49,0
2018,42,0,0,0,0,0
2018,31,0,0,0,0,0
2018,113,0,0,0,0,0
2018,619,0,0,0,0,0
2018,163,0,0,0,0,0
2018,131,0,0,0,0,0
2018,375,0,0,0,0,0
2018,1090,2084,274,2405,183,0
2018,764,1444,448,1934,205,0
2018,14,252,179,435,0,0
2018,657,265,120,385,16,0
2018,362,15,7,22,0,0
2018,989,253,54,311,31,0
2018,990,317,120,441,20,0
2018,680,1580,470,2125,234,0
2018,411,369,345,725,35,0
2018,241,244,92,336,13,0
2018,558,643,276,919,76,0
2018,167,0,1,1,0,0
2018,248,0,0,0,0,0
2018,224,68,32,101,3,0
2018,591,920,273,1236,160,0
2018,586,895,199,1109,70,0
2018,453,0,0,0,0,0
2018,145,0,0,0,0,0
2018,511,721,278,1008,77,0
2018,530,1022,287,1319,69,0
2018,6,30,92,122,0,0
2018,161,0,0,0,0,0
2018,623,742,273,1038,114,0
2018,349,0,0,0,0,0
2018,875,0,0,0,0,0
2018,946,81,102,183,12,0
2018,1023,938,234,1193,70,0
2018,1054,725,291,1016,50,0
2018,1057,0,0,0,0,0
2018,1031,0,0,0,0,0
2018,1032,1215,258,1494,80,0
2018,1064,126,116,242,11,0
2018,226,466,166,632,54,0
2018,687,832,214,1068,56,0
2018,745,2255,596,2884,293,0
2018,109,395,197,598,0,0
2018,808,2086,450,2563,171,0
2018,971,0,0,0,0,0
2018,128,0,0,0,0,0
2018,919,592,163,775,52,0
2018,1150,0,0,0,0,0
2018,725,1548,519,2079,149,0
2018,3,0,0,0,0,0
2018,306,0,0,0,0,0
2018,15,0,0,0,0,0
2018,264,203,136,339,9,0
2018,867,0,0,0,0,0
2018,910,376,171,547,26,0
2018,1053,602,286,898,43,0
2018,1055,1081,316,1424,103,0
2018,1081,0,0,0,0,0
2018,1115,0,0,0,0,0
2018,529,0,0,0,0,0
2018,345,0,0,0,0,0
2018,515,0,0,0,0,0
2018,174,0,0,0,0,0
2018,523,0,0,0,0,0
2018,697,653,287,935,45,0
2018,239,0,0,0,0,0
2018,287,385,271,656,64,0
2018,377,0,0,0,0,0
2018,692,1046,156,1216,60,0
2018,435,206,81,288,0,0
2018,423,33,45,78,0,0
2018,351,0,0,0,0,0
2018,810,31,16,47,0,0
2018,830,844,132,976,0,0
2018,892,1693,314,2034,93,0
2018,921,452,292,744,19,0
2018,991,39,9,48,0,0
2018,992,705,155,861,45,0
2018,993,440,146,592,28,0
2018,1070,1320,486,1875,277,0
2018,1095,0,0,0,0,0
2018,1094,0,0,0,0,0
2018,1124,0,0,0,0,0
2018,473,2214,863,3092,424,0
2018,663,1093,303,1387,41,0
2018,552,0,0,0,0,0
2018,772,0,0,0,0,0
2018,568,0,0,0,0,0
2018,398,0,0,0,0,0
2018,394,0,0,0,0,0
2018,614,0,0,0,0,0
2018,235,0,0,0,0,0
2018,616,0,0,0,0,0
2018,267,899,634,1577,67,0
2018,565,0,0,0,0,0
2018,220,108,90,198,7,0
2018,278,765,404,1185,53,0
2018,107,0,0,0,0,0
2018,711,1259,369,1682,195,0
2018,204,0,0,0,0,0
2018,579,0,0,0,0,0
2018,348,0,0,0,0,0
2018,766,0,0,0,0,0
2018,761,0,0,0,0,0
2018,728,0,0,0,0,0
2018,280,745,607,1370,73,0
2018,222,0,0,0,0,0
2018,276,1964,984,2943,112,0
2018,11,125,97,222,0,0
2018,302,35,35,70,4,0
2018,682,0,0,0,0,0
2018,279,1846,867,2782,177,0
2018,282,1085,755,1868,106,0
2018,281,478,375,885,87,0
2018,183,0,0,0,0,0
2018,610,0,0,0,0,0
2018,116,0,0,0,0,0
2018,115,0,0,0,0,0
2018,114,0,0,0,0,0
2018,119,0,0,0,0,0
2018,770,1107,420,1541,131,0
2018,583,0,0,0,0,0
2018,136,0,0,0,0,0
2018,469,88,34,122,2,0
2018,642,593,148,743,24,0
2018,674,2499,882,3444,354,0
2018,193,0,0,0,0,0
2018,526,1049,344,1412,108,0
2018,698,0,0,0,0,0
2018,630,1169,245,1430,79,0
