año,NCODI,partoVaginal,cesareas,rNacVivos,vivos_menor2500,exitusMaternal
2017,900,0,0,0,0,0
2017,932,0,0,0,0,0
2017,950,0,0,0,0,0
2017,966,174,122,313,13,0
2017,967,0,0,0,0,0
2017,982,0,0,0,0,0
2017,1014,0,0,0,0,0
2017,1080,975,313,1313,115,0
2017,1074,0,0,0,0,0
2017,1084,0,0,0,0,0
2017,1113,21,26,49,0,0
2017,1137,0,0,0,0,0
2017,1142,459,163,614,39,0
2017,722,5604,1602,7327,697,0
2017,660,0,0,0,0,0
2017,75,0,0,0,0,0
2017,249,362,322,702,34,0
2017,227,401,346,760,21,0
2017,150,0,0,0,0,0
2017,47,0,0,0,0,0
2017,172,0,0,0,0,0
2017,581,389,141,532,39,0
2017,120,0,0,0,0,0
2017,445,0,0,0,0,0
2017,471,0,0,0,0,0
2017,53,0,0,0,0,0
2017,199,0,0,0,0,0
2017,575,899,256,1145,46,0
2017,528,388,132,523,39,0
2017,631,1162,409,1553,98,
2017,699,0,0,0,0,0
2017,823,0,0,0,0,0
2017,849,0,0,0,0,0
2017,869,0,0,0,0,0
2017,955,0,0,0,0,0
2017,983,0,0,0,0,0
2017,1002,0,0,0,0,0
2017,1015,2053,613,2664,232,0
2017,51,0,0,0,0,0
2017,441,0,0,0,0,0
2017,327,0,0,0,0,0
2017,690,203,69,278,10,0
2017,262,126,38,164,6,0
2017,403,0,0,0,0,0
2017,312,0,0,0,0,0
2017,589,319,90,417,17,0
2017,665,708,170,886,0,0
2017,334,0,0,0,0,0
2017,1075,3254,590,3909,361,0
2017,751,970,403,1400,134,0
2017,186,0,0,0,0,0
2017,646,104,28,132,6,0
2017,536,64,43,105,1,0
2017,242,0,2,2,0,0
2017,490,0,0,0,0,0
2017,500,235,82,321,6,0
2017,206,0,0,0,0,0
2017,58,0,0,0,0,0
2017,572,698,160,871,53,0
2017,180,0,0,0,0,0
2017,549,80,33,113,1,0
2017,582,181,52,233,0,0
2017,743,1281,287,1597,138,0
2017,795,0,0,0,0,0
2017,269,0,0,0,0,0
2017,634,0,0,0,0,0
2017,1,2,0,2,0,0
2017,717,236,84,324,22,0
2017,373,0,0,0,0,0
2017,535,287,76,364,11,0
2017,824,1742,317,2092,69,0
2017,888,157,32,190,7,0
2017,902,0,0,0,0,0
2017,968,0,0,0,0,0
2017,1130,0,0,0,0,0
2017,1141,0,0,0,0,0
2017,1145,0,0,0,0,0
2017,1122,0,0,0,0,0
2017,1133,0,0,0,0,0
2017,346,0,0,0,0,0
2017,27,0,0,0,0,0
2017,165,0,0,0,0,0
2017,956,671,271,956,62,0
2017,413,0,0,0,0,0
2017,149,0,0,0,0,0
2017,612,727,738,1495,52,0
2017,559,0,0,0,0,0
2017,7,0,0,0,0,0
2017,283,0,0,0,0,0
2017,37,0,0,0,0,0
2017,153,0,0,0,0,0
2017,547,948,306,1273,100,0
2017,397,0,0,0,0,0
2017,556,774,257,1035,53,0
2017,42,0,0,0,0,0
2017,31,0,0,0,0,0
2017,740,3870,455,4416,468,0
2017,217,0,0,0,0,0
2017,863,1,1,2,0,0
2017,889,0,0,0,0,0
